method,plant_id,order_id,actual,estimate,rater
N2C2,56,39,36.66666667,27.78306323,1
N2C2,57,21,16.66666667,10.86068348,1
N2C2,58,29,23.33333333,29.89747692,1.00
N2C2,59,73,90,99.29728734,1
N2C2,60,70,86.66666667,88.04490454,1
N2C2,61,53,53.33333333,50.77314084,1.00
N2C2,62,47,43.33333333,45.72120177,1
N2C2,63,40,36.66666667,31.98014205,1
N2C2,64,57,60,58.88748573,1.00
N2C2,65,25,20,23.94820915,1
N2C2,66,30,26.66666667,32.99183038,1
N2C2,67,55,56.66666667,63.24318876,1.00
N2C2,68,63,73.33333333,84.12725618,1
N2C2,69,41,36.66666667,64.13722088,1
N2C2,70,61,70,84.02745954,1.00
N2C2,71,54,53.33333333,59.71079318,1
N2C2,72,74,90,99.83217489,1
N2C2,73,78,100,99.98053429,1.00
N2C2,74,79,100,99.91369575,1
N2C2,75,42,36.66666667,58.22804365,1
N2C2,76,76,96.66666667,99.99983527,1.00
N2C2,77,80,100,99.99852336,1
N2C2,78,81,100,99.99949411,1
N2C2,79,82,100,99.99946903,1.00
N2C2,80,83,100,99.99583756,1
N2C2,81,84,100,99.99974337,1
N2C2,82,85,100,99.99037466,1.00
N2C2,83,86,100,99.99208578,1
N2C2,84,87,100,99.99676165,1
N2C2,85,58,60,72.90836653,1.00
N2C2,86,88,100,99.99543582,1
N2C2,87,75,90,99.96860512,1
N2C2,88,89,100,99.9917094,1.00
N2C2,89,90,100,99.99842935,1
N2C2,90,6,0,14.52193825,1
Human,1,1,0,0,8
Human,2,22,20,22,8
Human,3,7,3.333333333,2,8
Human,4,8,3.333333333,6,8
Human,5,18,16.66666667,12,8
Human,6,9,3.333333333,3,8
Human,7,36,36.66666667,37,8
Human,8,23,20,29,8
Human,9,35,33.33333333,18,8
Human,10,31,30,12,8
Human,11,56,60,63,8
Human,12,43,40,25,8
Human,13,66,83.33333333,65,8
Human,14,14,10,47,8
Human,15,12,6.666666667,24,8
Human,16,32,30,18,8
Human,17,49,50,65,8
Human,18,50,50,54,8
Human,19,45,43.33333333,32,8
Human,20,19,16.66666667,23,8
Human,21,2,0,4,8
Human,22,68,86.66666667,86,8
Human,23,48,46.66666667,78,8
Human,24,26,23.33333333,40,8
Human,25,15,13.33333333,23,8
Human,26,71,90,85,8
Human,27,27,23.33333333,15,8
Human,28,37,36.66666667,23,8
Human,29,28,23.33333333,7,8
Human,30,59,63.33333333,73,8
Human,31,10,3.333333333,5,8
Human,32,77,100,90,8
Human,33,33,30,11,8
Human,34,67,83.33333333,86,8
Human,35,64,80,83,8
Human,36,16,13.33333333,6,8
Human,37,65,80,79,8
Human,38,13,6.666666667,9,8
Human,39,38,36.66666667,24,8
Human,41,34,30,12,8
Human,42,60,70,77,8
Human,43,3,0,12,8
Human,44,46,43.33333333,65,8
Human,45,62,73.33333333,75,8
Human,46,72,90,95,8
Human,47,51,50,55,8
Human,48,11,3.333333333,2,8
Human,49,4,0,0,8
Human,50,44,40,81,8
Human,51,5,0,45,8
Human,52,17,13.33333333,50,8
Human,53,24,20,14,8
Human,54,20,16.66666667,24,8
Human,55,52,53.33333333,54,8
Human,56,39,36.66666667,36,8
Human,57,21,16.66666667,28,8
Human,58,29,23.33333333,27,8
Human,59,73,90,97,8
Human,60,70,86.66666667,78,8
Human,61,53,53.33333333,45,8
Human,62,47,43.33333333,35,8
Human,63,40,36.66666667,36,8
Human,64,57,60,43,8
Human,65,25,20,13,8
Human,66,30,26.66666667,8,8
Human,67,55,56.66666667,56,8
Human,68,63,73.33333333,69,8
Human,69,41,36.66666667,39,8
Human,70,61,70,73,8
Human,71,54,53.33333333,60,8
Human,72,74,90,96,8
Human,73,78,100,98,8
Human,74,79,100,95,8
Human,75,42,36.66666667,48,8
Human,76,76,96.66666667,100,8
Human,77,80,100,100,8
Human,78,81,100,100,8
Human,79,82,100,100,8
Human,80,83,100,99,8
Human,81,84,100,100,8
Human,82,85,100,100,8
Human,83,86,100,100,8
Human,84,87,100,100,8
Human,85,58,60,25,8
Human,86,88,100,100,8
Human,87,75,90,87,8
Human,88,89,100,100,8
Human,89,90,100,99,8
Human,90,6,0,2,8
Human,1,1,0,5,9
Human,2,22,20,15,9
Human,3,7,3.333333333,0,9
Human,4,8,3.333333333,7,9
Human,5,18,16.66666667,30,9
Human,6,9,3.333333333,0,9
Human,7,36,36.66666667,25,9
Human,8,23,20,10,9
Human,9,35,33.33333333,15,9
Human,10,31,30,25,9
Human,11,56,60,50,9
Human,12,43,40,40,9
Human,13,66,83.33333333,80,9
Human,14,14,10,10,9
Human,15,12,6.666666667,3,9
Human,16,32,30,10,9
Human,17,49,50,43,9
Human,18,50,50,35,9
Human,19,45,43.33333333,47,9
Human,20,19,16.66666667,14,9
Human,21,2,0,0,9
Human,22,68,86.66666667,80,9
Human,23,48,46.66666667,10,9
Human,24,26,23.33333333,10,9
Human,25,15,13.33333333,15,9
Human,26,71,90,86,9
Human,27,27,23.33333333,8,9
Human,28,37,36.66666667,40,9
Human,29,28,23.33333333,2,9
Human,30,59,63.33333333,53,9
Human,31,10,3.333333333,0,9
Human,32,77,100,100,9
Human,33,33,30,6,9
Human,34,67,83.33333333,80,9
Human,35,64,80,65,9
Human,36,16,13.33333333,12,9
Human,37,65,80,80,9
Human,38,13,6.666666667,14,9
Human,39,38,36.66666667,42,9
Human,40,69,86.66666667,97,9
Human,41,34,30,40,9
Human,42,60,70,78,9
Human,43,3,0,0,9
Human,44,46,43.33333333,47,9
Human,45,62,73.33333333,65,9
Human,46,72,90,90,9
Human,47,51,50,47,9
Human,48,11,3.333333333,0,9
Human,49,4,0,0,9
Human,50,44,40,46,9
Human,51,5,0,0,9
Human,52,17,13.33333333,16,9
Human,53,24,20,20,9
Human,54,20,16.66666667,44,9
Human,55,52,53.33333333,52,9
Human,56,39,36.66666667,38,9
Human,57,21,16.66666667,26,9
Human,58,29,23.33333333,29,9
Human,59,73,90,96,9
Human,60,70,86.66666667,84,9
Human,61,53,53.33333333,54,9
Human,62,47,43.33333333,50,9
Human,63,40,36.66666667,30,9
Human,64,57,60,60,9
Human,65,25,20,2,9
Human,66,30,26.66666667,10,9
Human,67,55,56.66666667,57,9
Human,68,63,73.33333333,74,9
Human,69,41,36.66666667,40,9
Human,70,61,70,73,9
Human,71,54,53.33333333,56,9
Human,72,74,90,92,9
Human,73,78,100,100,9
Human,74,79,100,100,9
Human,75,42,36.66666667,26,9
Human,76,76,96.66666667,97,9
Human,77,80,100,96,9
Human,78,81,100,100,9
Human,79,82,100,100,9
Human,80,83,100,98,9
Human,81,84,100,97,9
Human,82,85,100,92,9
Human,83,86,100,100,9
Human,84,87,100,99,9
Human,85,58,60,57,9
Human,86,88,100,100,9
Human,87,75,90,90,9
Human,88,89,100,99,9
Human,89,90,100,96,9
Human,90,6,0,0,9
Human,1,1,0,5,10
Human,2,22,20,30,10
Human,3,7,3.333333333,0,10
Human,4,8,3.333333333,10,10
Human,5,18,16.66666667,30,10
Human,6,9,3.333333333,5,10
Human,7,36,36.66666667,40,10
Human,8,23,20,30,10
Human,9,35,33.33333333,40,10
Human,10,31,30,30,10
Human,11,56,60,50,10
Human,12,43,40,40,10
Human,13,66,83.33333333,80,10
Human,14,14,10,40,10
Human,15,12,6.666666667,10,10
Human,16,32,30,25,10
Human,17,49,50,55,10
Human,18,50,50,55,10
Human,19,45,43.33333333,45,10
Human,20,19,16.66666667,5,10
Human,21,2,0,0,10
Human,22,68,86.66666667,80,10
Human,23,48,46.66666667,45,10
Human,24,26,23.33333333,10,10
Human,25,15,13.33333333,15,10
Human,26,71,90,85,10
Human,27,27,23.33333333,5,10
Human,28,37,36.66666667,20,10
Human,29,28,23.33333333,5,10
Human,30,59,63.33333333,65,10
Human,31,10,3.333333333,0,10
Human,32,77,100,95,10
Human,33,33,30,5,10
Human,34,67,83.33333333,85,10
Human,35,64,80,80,10
Human,36,16,13.33333333,30,10
Human,37,65,80,80,10
Human,38,13,6.666666667,5,10
Human,39,38,36.66666667,40,10
Human,40,69,86.66666667,90,10
Human,41,34,30,25,10
Human,42,60,70,75,10
Human,43,3,0,35,10
Human,44,46,43.33333333,50,10
Human,45,62,73.33333333,75,10
Human,46,72,90,90,10
Human,47,51,50,45,10
Human,48,11,3.333333333,10,10
Human,49,4,0,10,10
Human,50,44,40,45,10
Human,51,5,0,0,10
Human,52,17,13.33333333,35,10
Human,53,24,20,20,10
Human,54,20,16.66666667,50,10
Human,55,52,53.33333333,55,10
Human,56,39,36.66666667,40,10
Human,57,21,16.66666667,20,10
Human,58,29,23.33333333,35,10
Human,59,73,90,95,10
Human,60,70,86.66666667,80,10
Human,61,53,53.33333333,60,10
Human,62,47,43.33333333,40,10
Human,63,40,36.66666667,50,10
Human,64,57,60,60,10
Human,65,25,20,30,10
Human,66,30,26.66666667,25,10
Human,67,55,56.66666667,60,10
Human,68,63,73.33333333,65,10
Human,69,41,36.66666667,40,10
Human,70,61,70,70,10
Human,71,54,53.33333333,60,10
Human,72,74,90,95,10
Human,73,78,100,100,10
Human,74,79,100,100,10
Human,75,42,36.66666667,45,10
Human,76,76,96.66666667,100,10
Human,77,80,100,100,10
Human,78,81,100,100,10
Human,79,82,100,100,10
Human,80,83,100,95,10
Human,81,84,100,100,10
Human,82,85,100,100,10
Human,83,86,100,100,10
Human,84,87,100,100,10
Human,85,58,60,65,10
Human,86,88,100,100,10
Human,87,75,90,90,10
Human,88,89,100,100,10
Human,89,90,100,100,10
Human,90,6,0,0,10
Human,1,1,0,0,11
Human,2,22,20,20,11
Human,3,7,3.333333333,10,11
Human,4,8,3.333333333,40,11
Human,5,18,16.66666667,40,11
Human,6,9,3.333333333,30,11
Human,7,36,36.66666667,40,11
Human,8,23,20,30,11
Human,9,35,33.33333333,50,11
Human,10,31,30,40,11
Human,11,56,60,60,11
Human,12,43,40,50,11
Human,13,66,83.33333333,80,11
Human,14,14,10,30,11
Human,15,12,6.666666667,10,11
Human,16,32,30,30,11
Human,17,49,50,50,11
Human,18,50,50,50,11
Human,19,45,43.33333333,60,11
Human,20,19,16.66666667,20,11
Human,21,2,0,0,11
Human,22,68,86.66666667,80,11
Human,23,48,46.66666667,10,11
Human,24,26,23.33333333,30,11
Human,25,15,13.33333333,10,11
Human,26,71,90,90,11
Human,27,27,23.33333333,30,11
Human,28,37,36.66666667,40,11
Human,29,28,23.33333333,0,11
Human,30,59,63.33333333,70,11
Human,31,10,3.333333333,0,11
Human,32,77,100,100,11
Human,33,33,30,10,11
Human,34,67,83.33333333,80,11
Human,35,64,80,80,11
Human,36,16,13.33333333,20,11
Human,37,65,80,80,11
Human,38,13,6.666666667,10,11
Human,39,38,36.66666667,30,11
Human,40,69,86.66666667,90,11
Human,41,34,30,20,11
Human,42,60,70,80,11
Human,43,3,0,0,11
Human,44,46,43.33333333,40,11
Human,45,62,73.33333333,60,11
Human,46,72,90,90,11
Human,47,51,50,30,11
Human,48,11,3.333333333,0,11
Human,49,4,0,0,11
Human,50,44,40,50,11
Human,51,5,0,0,11
Human,52,17,13.33333333,40,11
Human,53,24,20,20,11
Human,54,20,16.66666667,30,11
Human,55,52,53.33333333,50,11
Human,56,39,36.66666667,50,11
